outlet_description	Наименование магазина
noImage	Изображение не найдено
of	из
information	Информация
snapshot	Фотоснимок
noSnapshot	Нет фотоснимка
snapshotAttached	Снимок прикреплен
clickToInsert	Нажмите для ввода даты
itemAlreadyExist	Такая позиция уже есть в заказе. Продолжить редактирование? ("Нет" - не добавлять новую позицию к заказу)
NO		Нет
YES		Да
filter	Фильтр
clearFilter		Очистить фильтр?
groups	Группы
brands	Бренды
brand	Бренд
impossibleToCreateVisit		Невозможно создать плановый визит пока не записаны координаты. Повторить попытку получить координаты?
fillNoOrderReason	 Причина отсутствия заказа должна быть заполнена.
reasonForEmptyOrder	Причина отсутствия заказа
fillInVisitReason	Причина визита должна быть заполнена
visitReason	Причина визита
debt	Долг
orderInfo	ИНФОРМАЦИЯ О ЗАКАЗЕ
visitTotal	Итоги визита
synchronizationData	СИНХРОНИЗАЦИЯ ДАННЫХ
synchronizationPhoto	СИНХРОНИЗАЦИЯ ФОТОГРАФИЙ
lastSync	Последняя синхронизация
synchronize	Синхронизировать
vpVisits	заявок
vpPerformed	выполнено
further	еще
scheduled	запланировано
planned	плановых
vpUnplanned	внеплановых
amountOfOrdersForToday	сумма заказов на сегодня
programmingCollectionForToday	сумма инкассации за сегодня
accountsReceivables	дебиторская задолженность
unknown	Нет данных
list	Список
DeleteNow	Удалить
Fair	Уволить
Factaddress	Фактический адрес
Uraddress	Юридический адрес
WEBLogin	Web-логин
WEBPassword	Web-пароль
PhoneNumbers	Номера телефонов
FaxNumbers	Номера факсов


requests	Заявки
ClearFilter	Очистить фильтр
reqdone	закрыто
requndone	осталось
reqmth	за месяц
request	ЗАЯВКА
requesttext	Текст заявки
manager	Менеджер
clients	Клиенты
NoAnswer	Отказ
reports	Отчеты
Clear	Очистить
worktimesheets	Лувры
today	Сегодня	
requestsAll	Все
donerequests	ВЫПОЛНЕННЫЕ ЗАЯВКИ
undonerequests	НЕВЫПОЛНЕННЫЕ ЗАЯВКИ
begin	Начало
end	Окончание
period	Период
customer	Клиент
next	Далее
main	Основное
descriptioncust	Наименование клиента
address		Адрес
metro	Метро
worklist	Список работ
Bigworklist	СПИСОК РАБОТ
NoWorks	Работы отсутсвуют
ready		Готово
errEmptyProduct	Поле Продукт не может быть пустым
at	в
CountPeaple	Кол-во сотрудников
Yes	Да
No	Нет
from0to50	0-50
from51to100	51-100
from101to200	101-200
from201to1000	201-1000
more1000	Более 1000
WorkDetail	Описание выполненных работ
HoursCount	Количество часов
Product	Продукт
OldVer	Старая версия
NewVer	Новая версия
requeststatus	Статус заявки
Completed	Закончен
Processing	В процессе
Expired	Отменен
Expected	Распределен
historyrequests	История заявок
nonamecontact	Введите Имя или Фамилию
error	Ошибка
shorthour	ч
planning	Планирование
remainsOfStock	Остатки на складе
applicationsForMaterials	Заявки на материалы
applications	Заявки
application	Заявка
all	Все
today	Cегодня
noApplicationToday	Нет заявок на сегодня
expected2	Ожидаемые
noPlans	Нет планов
call	Вызвать

gamingHelpText	<h3>Нажать кнопку «Можно продать доп. продукт» если:</h3><p>1. Клиент спрашивает как можно доработать программу, чтобы выполнять какую-либо новую функцию.</p><p>2. Клиент задает вопросы по консалтингу в сдаче отчетности и отражении тех или иных хозяйственных операций.</p><p>3. Клиент спрашивает стоимость программных продуктов и стоимость дополнительных лицензий.</p><p>4. Клиент спрашивает о возможности загрузки данных из других Источников в программу 1С (Excel, Галактика, Парус).</p><p>5. Клиент недоволен приходящим сторонним системным администратором (не нашим сотрудником).</p><p>6. Клиент ищет разработчика, дизайнера сайта/корпоративного портала.</p><p>7. У клиента в штате есть/планируются новые сотрудники.</p><p>8. Клиент открывает/планирует открыть новые офисы/магазины.</p><p>9. Клиент купил/планирует купить новый сервер.</p><p>10. Клиент изменяет/планирует изменить структуру фирмы.</p><h3>Нажать кнопку «Клиент недоволен» если:</h3><p>1. Клиент выражает недовольство работой кого-то из сотрудников (жалуется на опоздания, переносы сроков, увеличение времени работы, неспособность ответить на вопросы, невежливость) и просит сменить специалиста.</p><p>2. От клиента поступают жалобы, связанные со сравнением в обслуживании с другой компанией.</p><p>3. Клиент пытается изменить существующую схему оплаты услуг, пытается запросить количество услуг больше, чем необходимо по договору ИТС.</p><p>4. Часть программных продуктов клиента обслуживается у нас, а часть в какой-то другой организации. </p><p>5. В штат организации пришел свой методист/программист 1С, начали работать с фрилансером.</p><p>6. Клиент переносит визит на неопределенное время (в том числе без уважительных причин).</p><p>7. У клиента в организации появляются демонстрационные или коммерческие версии систем конкурентов.</p><p>8. Изменение кадрового состава ключевых пользователей. Структурные/организационные изменения у клиента, смена собственника.</p><p>9. Клиент не готов говорить о пролонгации договора при завершении его срока.</p><p>10. Клиент предлагает нашим специалистам выполнить работы в обход организации.</p>
